City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp.,Wind Speed
83,kasongo,76,CD,2018-11-20,99,-4.43,26.67,70.49,1.61
84,marsh harbour,12,BS,2018-11-20,100,26.54,-77.06,80.12,5.35
85,lukovetskiy,40,RU,2018-11-20,64,64.29,41.92,35.6,13.42
86,nanzhang,80,CN,2018-11-20,95,31.78,111.84,44.48,2.66
87,tuktoyaktuk,90,CA,2018-11-20,85,69.44,-133.03,14,23.04
88,airai,76,TL,2018-11-20,92,-8.93,125.41,70.4,1.43
89,mar del plata,76,AR,2018-11-20,36,-46.43,-67.52,67.88,27.83
90,young,0,UY,2018-11-20,39,-32.7,-57.63,86.15,9.44
91,victoria,75,BN,2018-11-20,94,5.28,115.24,78.8,4.18
92,kaeo,64,NZ,2018-11-20,77,-35.1,173.78,52.22,11.16
93,luderitz,0,NA,2018-11-20,64,-26.65,15.16,64.28,28.5
94,maraa,80,BR,2018-11-20,96,-1.83,-65.37,79.72,7.14
95,adelaide,75,AU,2018-11-20,67,-34.93,138.6,57.2,8.05
96,fortuna,20,ES,2018-11-20,77,38.18,-1.13,59,5.82
97,rizhao,92,CN,2018-11-20,86,35.43,119.46,47.99,7.14
98,chalon-sur-saone,92,FR,2018-11-20,93,46.78,4.85,41,3.36
99,atuona,0,PF,2018-11-20,100,-9.8,-139.03,80.35,10.11
100,tarare,92,FR,2018-11-20,70,45.89,4.44,46.4,8.05
101,ixtapa,40,MX,2018-11-20,57,20.71,-105.21,80.6,4.7
102,hermanus,92,ZA,2018-11-20,98,-34.42,19.24,56.81,7.09
103,tuatapere,68,NZ,2018-11-20,100,-46.13,167.69,46.87,7.31
104,coahuayana,0,MX,2018-11-20,29,18.62,-100.35,83.9,3.06
105,tasiilaq,90,GL,2018-11-20,80,65.61,-37.64,39.2,35.57
106,torbay,90,CA,2018-11-20,100,47.66,-52.73,44.6,9.17
107,qaanaaq,0,GL,2018-11-20,100,77.48,-69.36,-3.99,9.33
